,date,time,open,high,low,close
8714,21-12-02,18:38:10,113.183,113.183,113.182,113.182
8715,21-12-02,18:38:15,113.182,113.184,113.182,113.184
8716,21-12-02,18:38:20,113.184,113.186,113.182,113.186
8717,21-12-02,18:38:25,113.186,113.186,113.182,113.182
8718,21-12-02,18:38:30,113.182,113.182,113.18,113.18
8719,21-12-02,18:38:35,113.18,113.18,113.175,113.178
8720,21-12-02,18:38:40,113.178,113.18,113.17,113.17
8721,21-12-02,18:38:45,113.17,113.17,113.169,113.169
8722,21-12-02,18:38:50,113.169,113.174,113.169,113.174
8723,21-12-02,18:38:55,113.174,113.175,113.174,113.175
8724,21-12-02,18:39:00,113.175,113.18,113.175,113.179
8725,21-12-02,18:39:05,113.179,113.182,113.179,113.182
8726,21-12-02,18:39:10,113.182,113.182,113.179,113.182
8727,21-12-02,18:39:15,113.182,113.186,113.182,113.185
8728,21-12-02,18:39:20,113.185,113.186,113.185,113.186
8729,21-12-02,18:39:25,113.186,113.186,113.185,113.186
8730,21-12-02,18:39:30,113.186,113.188,113.184,113.184
8731,21-12-02,18:39:35,113.184,113.186,113.184,113.185
8732,21-12-02,18:39:40,113.185,113.188,113.184,113.186
8733,21-12-02,18:39:45,113.186,113.186,113.183,113.183
8734,21-12-02,18:39:50,113.183,113.183,113.178,113.178
8735,21-12-02,18:39:55,113.178,113.18,113.178,113.179
8736,21-12-02,18:40:00,113.179,113.18,113.179,113.179
8737,21-12-02,18:40:05,113.179,113.181,113.179,113.181
8738,21-12-02,18:40:10,113.181,113.181,113.179,113.179
8739,21-12-02,18:40:15,113.179,113.182,113.179,113.182
8740,21-12-02,18:40:20,113.182,113.182,113.18,113.18
8741,21-12-02,18:40:25,113.18,113.18,113.178,113.18
8742,21-12-02,18:40:30,113.18,113.18,113.173,113.173
8743,21-12-02,18:40:35,113.173,113.174,113.173,113.174
8744,21-12-02,18:40:40,113.174,113.179,113.174,113.176
8745,21-12-02,18:40:45,113.176,113.177,113.174,113.174
8746,21-12-02,18:40:50,113.174,113.178,113.174,113.178
8747,21-12-02,18:40:55,113.178,113.186,113.178,113.186
8748,21-12-02,18:41:00,113.186,113.186,113.185,113.185
8749,21-12-02,18:41:05,113.185,113.185,113.183,113.183
8750,21-12-02,18:41:10,113.183,113.185,113.183,113.185
8751,21-12-02,18:41:15,113.185,113.185,113.176,113.179
8752,21-12-02,18:41:20,113.179,113.187,113.179,113.187
8753,21-12-02,18:41:25,113.187,113.187,113.186,113.186
8754,21-12-02,18:41:30,113.186,113.186,113.182,113.182
8755,21-12-02,18:41:35,113.182,113.182,113.18,113.182
8756,21-12-02,18:41:40,113.182,113.182,113.176,113.178
8757,21-12-02,18:41:45,113.178,113.179,113.178,113.179
8758,21-12-02,18:41:50,113.179,113.179,113.17,113.17
8759,21-12-02,18:41:55,113.17,113.172,113.169,113.169
8760,21-12-02,18:42:00,113.169,113.174,113.169,113.174
8761,21-12-02,18:42:05,113.174,113.174,113.171,113.174
8762,21-12-02,18:42:10,113.174,113.174,113.172,113.172
